scenario,year,group,n_children_weighted,median_nominal_sub,mean_nominal_sub,median_real2026_sub,mean_real2026_sub,median_nominal_subcdctc,mean_nominal_subcdctc,median_real2026_subcdctc,mean_real2026_subcdctc
baseline,2041,Paid Home-Based,764746.0,13115.0,15720.0,9343.0,11199.0,12919.0,15401.0,9204.0,10971.0
baseline,2042,all_paid_formal,3118944.0,13290.0,15648.0,9258.0,10901.0,13012.0,15318.0,9065.0,10671.0
baseline,2042,Low-Priced Center-Based,1349938.0,10713.0,10391.0,7463.0,7238.0,10587.0,10125.0,7375.0,7054.0
baseline,2042,High-Priced Center-Based,983965.0,21942.0,22680.0,15285.0,15800.0,21616.0,22252.0,15059.0,15501.0
baseline,2042,Paid Home-Based,785042.0,13446.0,15874.0,9367.0,11058.0,13297.0,15557.0,9263.0,10838.0
baseline,2043,all_paid_formal,3108468.0,13775.0,16164.0,9384.0,11012.0,13495.0,15844.0,9193.0,10793.0
baseline,2043,Low-Priced Center-Based,1357123.0,11049.0,10687.0,7527.0,7281.0,10962.0,10429.0,7468.0,7104.0
baseline,2043,High-Priced Center-Based,986544.0,22533.0,23355.0,15350.0,15910.0,22215.0,22935.0,15133.0,15624.0
baseline,2043,Paid Home-Based,764800.0,14062.0,16608.0,9579.0,11314.0,13696.0,16307.0,9330.0,11109.0
baseline,2044,all_paid_formal,3061899.0,14157.0,16614.0,9431.0,11068.0,13905.0,16294.0,9263.0,10854.0
baseline,2044,Low-Priced Center-Based,1314956.0,11393.0,10985.0,7590.0,7318.0,11393.0,10724.0,7590.0,7144.0
baseline,2044,High-Priced Center-Based,999532.0,23429.0,23910.0,15608.0,15928.0,22839.0,23497.0,15215.0,15653.0
baseline,2044,Paid Home-Based,747412.0,14204.0,16761.0,9462.0,11166.0,14080.0,16460.0,9380.0,10965.0
baseline,2045,all_paid_formal,3070403.0,14376.0,16996.0,9365.0,11071.0,14081.0,16686.0,9173.0,10869.0
baseline,2045,Low-Priced Center-Based,1339548.0,11607.0,11244.0,7561.0,7324.0,11484.0,10996.0,7481.0,7163.0
baseline,2045,High-Priced Center-Based,978228.0,23759.0,24551.0,15477.0,15993.0,23456.0,24142.0,15279.0,15726.0
baseline,2045,Paid Home-Based,752627.0,14596.0,17414.0,9508.0,11344.0,14485.0,17123.0,9436.0,11154.0
baseline,2046,all_paid_formal,3024260.0,14779.0,17389.0,9414.0,11076.0,14387.0,17087.0,9164.0,10884.0
baseline,2046,Low-Priced Center-Based,1297918.0,11527.0,11490.0,7343.0,7319.0,11504.0,11250.0,7328.0,7166.0
baseline,2046,High-Priced Center-Based,977510.0,24023.0,24885.0,15302.0,15851.0,23745.0,24495.0,15125.0,15603.0
